product_A,price_A,tier_A,product_B,price_B,tier_B,pair_sales_count,avg_buyer_score,high_intent_ratio,bundle_strategy_type
Google Campus Bike Tote Navy,10.998,Low,Google Land & Sea Cotton Cap,16.999,Mid,6,6866.3,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Super G Tumbler (Red Lid),27.863,Mid,6,7403.8,100,Volume Builder (크로스셀링)
Google Canteen Bottle Black,23.906,Mid,Google Land & Sea Cotton Cap,16.999,Mid,6,7403.8,100,Volume Builder (크로스셀링)
Google Clear Framed Gray Shades,4.692,Low,Google Clear Framed Yellow Shades,4.615,Low,6,5945.2,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Maze Pen,1,Low,6,4244.5,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,YouTube Play Mug,12.986,Low,6,3953.8,100,General Bundle
Google Cloud Pen,2.986,Low,Google Laptop and Cell Phone Stickers,2.999,Low,6,8135.5,100,General Bundle
Google Confetti Pen White,1.993,Low,Google Pen White,2,Low,6,4552.2,100,General Bundle
Google Crew Socks,15.996,Low,YouTube Crew Socks,15.999,Low,6,1155.8,100,General Bundle
Google Crew Socks,15.996,Low,Womens Google Striped LS,,,6,7396.5,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Laptop and Cell Phone Stickers,2.999,Low,6,6752.2,100,Add-on Strategy (업셀링)
Google Crewneck Sweatshirt Navy,54.971,High,Google Land & Sea Cotton Cap,16.999,Mid,6,4280.7,100,General Bundle
Google Emoji Sticker Pack,4.999,Low,Google Mural Sticker Sheet,2.993,Low,6,4321.2,100,General Bundle
Google F/C Longsleeve Ash,,,Google Pen White,2,Low,6,4887.2,100,General Bundle
Google F/C Longsleeve Ash,,,Google Navy Speckled Tee,29.997,High,6,2528.5,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Google Mural Sticker Sheet,2.993,Low,6,4407.8,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Maze Pen,1,Low,6,5565.8,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Womens Google Striped LS,,,6,5740,100,General Bundle
Google LA Campus Sticker,1.972,Low,Google NYC Campus Sticker,1.994,Low,6,7319,100,General Bundle
Google Land & Sea Cotton Cap,16.999,Mid,Super G Unisex Joggers,36.973,High,6,4698.3,100,General Bundle
Google Lapel Pin,7.706,Low,Google Maps Pin,6.848,Low,6,7367.2,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Zip Hoodie F/C,59.99,High,6,4620.8,100,Add-on Strategy (업셀링)
Google Light Pen Blue,2.962,Low,Google Metallic Notebook Set,5.998,Low,6,3659.5,100,General Bundle
Google Magnet,7.77,Low,Noogler Android Figure,15.997,Low,6,4205.3,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Perk Thermal Tumbler,19.848,Mid,6,5666,100,General Bundle
Google Mural Mug,16.729,Mid,Google Super G Tumbler (Red Lid),27.863,Mid,6,5089.8,100,Volume Builder (크로스셀링)
Google PNW Campus Mug,10.531,Low,Google Seattle Campus Sticker,1.971,Low,6,7151,100,General Bundle
Google Pen Bright Blue,1.998,Low,Google Pen Grey,1.993,Low,6,8194.2,100,General Bundle
Google Pen Citron,1.967,Low,Google Pen Red,1.907,Low,6,6560.2,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen Grey,1.993,Low,6,8243.8,100,General Bundle
Google Pen White,2,Low,Maze Pen,1,Low,6,5050.2,100,General Bundle
Google Red Speckled Tee,29.944,High,Super G Unisex Joggers,36.973,High,6,4750,100,Premium Set (VIP 타겟)
Google Red YoYo,3.895,Low,Google Yellow YoYo,3.949,Low,6,5699.7,100,General Bundle
Google Seattle Campus Mug,10.777,Low,Google Seattle Campus Sticker,1.971,Low,6,7535.7,100,General Bundle
Android Iconic Crewneck Sweatshirt,54.785,High,Google Crewneck Sweatshirt Navy,54.971,High,5,7605.7,100,Premium Set (VIP 타겟)
Android Iconic Pen,1.993,Low,Google Pen White,2,Low,5,6135.8,100,General Bundle
Android Pocket Tee Navy,28.766,Mid,Google Red Speckled Tee,29.944,High,5,2309.2,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google PNW Campus Mug,10.531,Low,5,7602.8,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Boulder Campus Mug,10.454,Low,5,4466.4,100,General Bundle
Google Bellevue Campus Sticker,1.988,Low,Google Kirkland Campus Sticker,1.992,Low,5,10873.2,100,General Bundle
Google Bellevue Campus Sticker,1.988,Low,Google LA Campus Sticker,1.972,Low,5,11167.6,100,General Bundle
Google Black Cork Journal,11.988,Low,Google Recycled Writing Set,4.698,Low,5,4779.2,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Red Kids Sunglasses,4.988,Low,5,4847,100,General Bundle
Google Blue YoYo,3.833,Low,Google Red YoYo,3.895,Low,5,5659.6,100,General Bundle
Google Bot (Multicolored),9.989,Low,Google Perk Thermal Tumbler,19.848,Mid,5,8639.8,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google LA Campus Mug,10.551,Low,5,5184.2,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google Seattle Campus Mug,10.777,Low,5,5831.4,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google Chicago Campus Mug,10.769,Low,5,4707.2,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google PNW Campus Mug,10.531,Low,5,5551.2,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google Seattle Campus Sticker,1.971,Low,5,12077,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google NYC Campus Mug,11.852,Low,5,9895.8,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google Chicago Campus Mug,10.769,Low,5,4656.4,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google Kirkland Campus Mug,10.934,Low,5,8265.6,100,General Bundle
Google Cambridge Campus Mug,11.932,Low,Google Cambridge Campus Sticker,1.997,Low,5,4879.6,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Metallic Notebook Set,5.998,Low,5,4988.2,100,General Bundle
Google Camp Mug Gray,12.941,Low,YouTube Play Mug,12.986,Low,5,4063.8,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Zip Hoodie F/C,59.99,High,5,2497.2,100,Add-on Strategy (업셀링)
Google Camp Mug Ivory,12.93,Low,Google Crew Striped Athletic Sock,17,Mid,5,2663.6,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Crew Socks,15.996,Low,5,8137.8,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google SF Campus Tote,8.679,Low,5,2948,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Clear Pen 4-Pack,4.947,Low,5,6341.4,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Land & Sea Cotton Cap,16.999,Mid,5,3533.6,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Metallic Notebook Set,5.998,Low,5,4422.6,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Crew Combed Cotton Sock,16.989,Mid,5,3346.6,100,General Bundle
