item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Felt Refillable Journal,Eco-Friendly,2,500,250
YouTube Transmission Journal Red,Home/Shop by Brand/YouTube/,347,496,1
Android Iconic Crewneck Sweatshirt,Home/Shop by Brand/Android/,75,495,3
Google Camp Mug Ivory,Lifestyle/Drinkware/,23,494,9
Google Kids Playful Tee,Kids,22,486,7
Android Techie 3D Framed Art,Home/Sale/,986,480,0
#IamRemarkable Unisex Hoodie,Home/Apparel/Women's/,13,480,32
Google Campus Bike,Small Goods,22,480,16
Google Color Block Notebook,Home/Stationery/Notebooks/,62,480,4
Essential Canvas Tote,Sale,16,480,18
Google Leather Strap Hat Blue,"",4,476,79
Google Blue Stojo Cup,Home/Eco-Friendly/,17,475,25
Google NYC Campus Unisex Tee,Home/Campus Collection/,31,475,7
Google Badge Heavyweight Pullover Black,"",5,464,58
Noogler Android Figure,Home/Shop by Brand/Android/,87,464,3
Google Phone Stand Bamboo,Lifestyle/Small Goods/,277,450,1
YouTube Crew Socks,Home/Apparel/Socks/,111,448,2
Android Buoy Bottle,Lifestyle/Drinkware/,58,448,6
Google Austin Campus Mug,Sale,14,446,28
Google Men's Tech Fleece Grey,Apparel,12,445,23
Android Iconic Crewneck Sweatshirt,Home/Apparel/Men's / Unisex/,185,440,1
Google Land & Sea French Terry Sweatshirt,Home/Apparel/Men's / Unisex/,36,440,5
Google Clear Pen 4-Pack,Home/Stationery/,240,440,1
Google Crewneck Sweatshirt Green,Women's,42,440,7
Google Recycled Writing Set,Writing,7,436,44
Super G Unisex Joggers,Women's,59,430,6
Google Lightweight Crew Sweatshirt Grey,Sale,36,430,8
Google Camp Mug Ivory,Lifestyle/,216,429,1
Android Iconic Notebook,Android,4,425,106
Google Unisex Pride Eco-Tee Black,Men's / Unisex,63,424,5
Google Cambridge Campus Bottle,Home/Campus Collection/,249,420,1
Google Pocket Tee Grey,Men's / Unisex,32,420,7
